id,animal_category,disease,sym_part,symptom,url
900,鳥,クラミジア症（オウム病） <鳥>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1123?breed=03999
901,鳥,クラミジア症（オウム病） <鳥>,尿の異常,['尿の色がおかしい'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1123?breed=03999
902,鳥,クラミジア症（オウム病） <鳥>,呼吸の異常,['呼吸が荒い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1123?breed=03999
903,鳥,クラミジア症（オウム病） <鳥>,その他の症状,['食欲がない' '羽を膨らませている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1123?breed=03999
904,鳥,クラミジア症（オウム病） <鳥>,食欲,['食欲不振（食欲がない）'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1123?breed=03999
905,鳥,AGY（メガバクテリア症） <鳥>,便の異常,['下痢をしている' '便の色がいつもと異なる' '便に未消化物が混じっている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1120?breed=03999
906,鳥,AGY（メガバクテリア症） <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1120?breed=03999
907,鳥,AGY（メガバクテリア症） <鳥>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1120?breed=03999
908,鳥,AGY（メガバクテリア症） <鳥>,意識・状態の異常,['ずっと寝ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1120?breed=03999
909,鳥,AGY（メガバクテリア症） <鳥>,その他の症状,['陰部から膿が出ている' '羽を膨らませている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1120?breed=03999
910,鳥,カンジダ症 <鳥>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1122?breed=03999
911,鳥,カンジダ症 <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1122?breed=03999
912,鳥,カンジダ症 <鳥>,体重の変化,['体重が減る'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1122?breed=03999
913,鳥,カンジダ症 <鳥>,その他の症状,['食欲がない' '羽を膨らませている' '頭部が吐物で汚れている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1122?breed=03999
914,鳥,アボカド中毒 <鳥>,便の異常,['下痢をしている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1125?breed=03999
915,鳥,アボカド中毒 <鳥>,吐く,['吐いている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1125?breed=03999
